Standard,Alternatives
important,weighty|crucial|grave|pressing|heavy|key
good,solid|prime|stellar|sound|top-notch|decent
bad,lousy|poor|grim|shoddy|rough|subpar
difficult,tough|hairy|gnarly|steep|tricky|rough
easy,smooth|light|gentle|straightforward|child's play
big,hefty|sizable|massive|chunky|grand|sweeping
small,tiny|modest|slight|pocket-sized|minor|scant
new,fresh|novel|green|recent|raw
old,aged|classic|vintage|dated|weathered|seasoned
strong,sturdy|robust|beefy|stark|potent|sound
weak,flimsy|fragile|faint|soft|thin|shaky
many,countless|legion|heaps of|scores of|a wealth of
happy,chuffed|glad|upbeat|content|thrilled
sad,down|blue|glum|low|somber|heavy-hearted
fast,quick|snappy|brisk|rapid|swift|blistering
slow,sluggish|leisured|gradual|crawling|creeping
