Original,Typo,Type
the,teh,word
receive,recieve,word
their,thier,word
definitely,definately,word
separate,seperate,word
a lot,alot,word
until,untill,word
occurred,occured,word
because,becuase,word
really,realy,word
accommodate,accomodate,word
don't,dont,contraction
can't,cant,contraction
won't,wont,contraction
isn't,isnt,contraction
aren't,arent,contraction
wasn't,wasnt,contraction
weren't,werent,contraction
haven't,havent,contraction
hasn't,hasnt,contraction
hadn't,hadnt,contraction
doesn't,doesnt,contraction
didn't,didnt,contraction
wouldn't,wouldnt,contraction
shouldn't,shouldnt,contraction
couldn't,couldnt,contraction
they're,theyre,contraction
you're,youre,contraction
